YYYYMM	서울특별시	부산광역시	대구광역시	인천광역시	광주광역시	대전광역시	울산광역시	경기도	강원도	충청북도	충청남도	전라북도	전라남도	경상북도	경상남도	제주특별자치도	세종특별자치시	전국
2006-01	53.49364803	56.75344738	58.65141075	59.21356251	60.00769415	59.60909291	56.42485774	52.94108636	67.22374527	55.26180824	56.9066873	60.97386767	64.37969218	61.30250716	55.50942581	62.09039065	0	55.57515819
2006-02	53.97741832	56.76937205	59.14359888	59.62697991	60.34591799	59.51511107	56.6611629	53.3630846	67.3046805	55.56910342	57.17825164	61.18077796	64.49417651	61.73741006	55.62940531	62.07212501	0	55.9043493
2006-03	54.77367958	56.80529258	59.50897249	60.36930753	60.66453147	59.4092328	57.12715636	54.00831805	67.52020134	56.07405672	57.51251817	61.61996679	64.62477695	62.15493556	55.81491077	62.05487465	0	56.39544439
2006-04	55.4034648	56.74243145	59.83189362	60.9327742	60.98327074	59.17844098	57.82599226	54.50897287	67.8086284	56.61585587	57.79012385	61.84307039	64.84866251	62.4952164	55.89762642	62.13591332	0	56.7829151
2006-05	55.76104127	56.63824042	59.83683913	61.34864159	61.03916954	58.9792816	58.67674605	55.02252586	67.96500037	56.74407377	57.83119113	62.08038652	65.2209565	63.15332637	56.16049404	62.36268641	0	57.08143458
2006-06	55.86734723	56.45440851	59.55189706	61.51973875	61.27108253	58.83127338	59.14328481	55.13867745	67.93959439	56.72027347	57.59951816	62.38143259	65.4863334	63.37051307	56.16779486	62.48784236	0	57.14516613
2006-07	55.97847818	56.27262448	59.4054067	61.54718984	61.36413544	58.81421643	59.40614909	55.23831342	67.91008121	56.67977701	57.40264894	62.64552309	65.99604398	63.53063963	56.12769927	62.26107431	0	57.19572329
2006-08	56.20163106	56.26893469	58.99481647	61.71541718	61.44932545	58.70627761	59.59328259	55.478363	67.6923222	56.55378714	57.41552472	63.09353927	66.24185419	63.58327424	56.28593164	62.26107431	0	57.31592004
2006-09	56.88866921	56.46951807	59.1954784	62.17851071	61.56597714	58.76763848	60.10182716	56.31608067	67.78686991	56.66478412	57.34347161	63.37892904	66.6629241	63.84514744	56.52125612	62.26107431	0	57.79072423
2006-10	57.82812567	56.88867331	59.29810999	62.89298143	61.8184707	58.94390987	61.15055731	57.48430954	67.82212176	56.74663959	57.37125591	63.9387555	67.55309802	64.20388967	56.74530486	62.33868278	0	58.47455188
2006-11	58.79629361	57.11595337	59.42865623	63.83467632	61.9270857	59.23597815	62.68083942	58.6674457	67.70804286	56.74003909	57.33376786	64.61268668	67.76963399	64.41111526	56.80385331	62.4054357	0	59.15259562
